Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
591,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,GA,None,1462,992,0.4738
593,AL,AK,MOU,Mountain Village,Mountain Village,GA,None,1432,1216,0.1776
594,AL,AK,EEK,Eek,Eek,GA,None,1429,1215,0.1761
596,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,GA,None,1352,1376,-0.0174
597,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,None,1351,1009,0.3389
598,AL,AK,AUK,Alakanuk,Alakanuk,GA,None,1340,1003,0.336
599,AL,AK,4K5,Ouzinkie,Ouzinkie,GA,None,1337,1084,0.2334
600,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,GA,None,1334,972,0.3724
603,AL,AK,6A8,Allakaket,Allakaket,GA,None,1299,964,0.3475
605,AL,AK,SMK,Saint Michael,St Michael,GA,None,1289,1362,-0.0536
606,AL,AK,2C7,Shaktoolik,Shaktoolik,GA,None,1286,1171,0.0982
607,AL,AK,7AK,Akutan,Akutan,GA,None,1275,1057,0.2062
608,AL,AK,KEB,English Bay,Nanwalek,GA,None,1262,883,0.4292
609,AL,AK,GGV,Kwigillingok,Kwigillingok,GA,None,1260,1092,0.1538
610,AL,AK,AFM,Ambler,Ambler,GA,None,1259,1217,0.0345
611,AL,AK,BTI,Kaktovik,Barter Island,GA,None,1259,941,0.3379
612,AL,AK,KWT,Kwethluk,Kwethluk,GA,None,1248,1009,0.2369
614,AL,AK,RBY,Ruby,Ruby,GA,None,1195,813,0.4699
616,AL,AK,4KA,Tununak,Tununak,GA,None,1169,805,0.4522
617,AL,AK,TOG,Togiak,Togiak,GA,None,1166,1064,0.0959
619,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,None,1162,1482,-0.2159
621,AL,AK,SHG,Shungnak,Shungnak,GA,None,1156,1080,0.0704
622,AL,AK,GLV,Golovin,Golovin,GA,None,1133,1280,-0.1148
623,AL,AK,AKI,Akiak,Akiak,GA,None,1103,846,0.3038
624,AL,AK,ARC,Arctic Village,Arctic Village,GA,None,1096,732,0.4973
625,AL,AK,VEE,Venetie,Venetie,GA,None,1087,801,0.3571
626,AL,AK,PIZ,Point Lay,Point Lay LRRS,GA,None,1078,901,0.1964
627,AL,AK,RSH,Russian Mission,Russian Mission,GA,None,1078,745,0.447
628,AL,AK,TER,Teller,Teller,GA,None,1078,1030,0.0466
630,AL,AK,FSP,Nikolai,Nikolai,GA,None,1069,1033,0.0348
631,AL,AK,JZZ,Koliganek,Koliganek,GA,None,1035,604,0.7136
633,AL,AK,9K2,Kokhanok,Kokhanok,GA,None,1028,1119,-0.0813
634,AL,AK,KAL,Kaltag,Kaltag,GA,None,1016,653,0.5559
637,AL,AK,BLG,Beluga,Beluga,GA,None,960,1078,-0.1095
638,AL,AK,TYE,Tyonek,Tyonek,GA,None,954,652,0.4632
642,AL,AK,DEE,Deering,Deering,GA,None,912,765,0.1922
647,AL,AK,KLG,Upper Kalskag (native name: Kalskag),Kalskag,GA,None,856,877,-0.0239
648,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,853,514,0.6595
651,AL,AK,MBA,Manokotak,Manokotak,GA,None,815,547,0.4899
652,AL,AK,OBU,Kobuk,Kobuk,GA,None,814,873,-0.0676
655,AL,AK,WMO,White Mountain,White Mountain,GA,None,778,1086,-0.2836
657,AL,AK,KQA,Akutan,Akutan,GA,None,756,616,0.2273
660,AL,AK,KEK,Ekwok,Ekwok,GA,None,745,376,0.9814
661,AL,AK,IGT,Nightmute,Nightmute,GA,None,737,708,0.041
662,AL,AK,37AA,Deadhorse,Point Thomson Airstrip,GA,None,725,477,0.5199
663,AL,AK,WNA,Napakiak,Napakiak,GA,None,725,392,0.8495
668,AL,AK,IWK,Wales,Wales,GA,None,709,629,0.1272
669,AL,AK,HUS,Hughes,Hughes,GA,None,701,398,0.7613
670,AL,AK,5NN,Nondalton,Nondalton,GA,None,699,801,-0.1273
672,AL,AK,PGM,Port Graham,Port Graham,GA,None,669,1011,-0.3383
674,AL,AK,PPC,Yukon-Koyukuk (Census Area),Prospect Creek,GA,None,666,230,1.8957
678,AL,AK,EWU,Newtok,Newtok,GA,None,652,760,-0.1421
679,AL,AK,EII,Egegik,Egegik,GA,None,649,705,-0.0794
680,AL,AK,KYU,Koyukuk,Koyukuk,GA,None,643,457,0.407
